dataset_id,provider,domain,data_name,data_type,format,access_type,source_urls,base_url,endpoint_or_path,api_key_required,api_key_scope,authority_level,notes
ds_011,JR東日本,鐵道, [Challenge 2025 only],static,JSON,api,https://api-challenge.odpt.org/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:StationTimetable?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:TrainTimetable?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:Station?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org,/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025],True,COMPETITION_LIMITED,SECONDARY,"東日本旅客鉄道(JR東日本)の関東エリアの一部の路線についての列車ロケーション情報を提供します。 / Train location information of JR East

東京都、神奈川県、埼玉県とその周辺の一部の在来線を対象とします。
新幹線は含みません。
相模線、鶴見線、南武支線、八高線は含みません。
常磐線は羽鳥以南のみ、高崎線は神保原以南のみ、青梅線は立川-青梅間のみを対象とします。
中央線は甲府以東を対象とします。
臨時列車、他路線直通列車などの一部は含まない場合があります。
「公共交通オープンデータチャレンジ限定ライセンス」およびその特定利用条件をよく読んで、ご利用ください。"
ds_012,JR東日本,鐵道,,static,GTFS/GTFS-JP,file,https://api-challenge.odpt.org/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org,/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025],True,COMPETITION_LIMITED,SECONDARY,"【チャレンジ2025限定】
東日本旅客鉄道(JR東日本)の関東エリアの一部の路線について、GTFS形式による鉄道関連情報を提供します。
東京都、神奈川県、埼玉県、千葉県とその周辺の一部の在来線を対象とします。
新幹線は含みません。
常磐線は坂元以南のみ、中央線は高尾以東のみを対象とします。
上越線、吾妻線は特急列車のみを対象とします。
中央線、青梅線の特急列車は含みません。
臨時列車、他路線直通列車などの一部は含まない場合があります。
「公共交通オープンデータチャレンジ限定ライセンス」およびその特定利用条件をよく読んで、ご利用ください。"
ds_013,TOKYO CRUISE SHIP,渡輪,TOKYO CRUISE-20250402,static,GTFS/GTFS-JP,file,https://api.odpt.org/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,"有効期間 : 2025年7月1日 〜 2026年3月31日
バージョン : 2.0
公共交通オープンデータ基本ライセンス、および、その特定利用条件をよく読んで、ご利用ください。"
ds_014,首都圏新都市鉄道,鐵道,つくばエクスプレス鉄道関連情報,static,GTFS/GTFS-JP,file,https://api.odpt.org/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,首都圏新都市鉄道（つくばエクスプレス）について、GTFS形式による鉄道関連情報を提供します。
ds_015,首都圏新都市鉄道,鐵道,首都圏新都市鉄道乗降者数情報,static,JSON,api,https://api.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,首都圏新都市鉄道（つくばエクスプレス）の乗降者数情報を提供します。
ds_016,首都圏新都市鉄道,鐵道,鉄道関連リアルタイム情報,realtime,Protocol Buffers,api,https://api.odpt.org/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,運行情報(Alert)を提供します。
ds_017,千代田区地域福祉交通,公車,千代田区地域福祉交通「風ぐるま」,static,GTFS/GTFS-JP,file,https://api.odpt.org/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,"2025年6月1日の千代田区地域福祉交通「風ぐるま」のデータです。

※本データは、開発者サイト でのユーザ登録後、以下のURLからもアクセス可能です。"
ds_018,台東区コミュニティバス,公車,台東区コミュニティバス,static,GTFS/GTFS-JP,file,https://api.odpt.org/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,※本データは、開発者サイト でのユーザ登録後、以下のURLからもアクセス可能です。
ds_019,東武バス,公車, [Challenge 2025 only],static,	JSON,api,https://api-challenge.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org,/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025],True,COMPETITION_LIMITED,SECONDARY,"【チャレンジ2025限定】
東武バスのバス停情報を提供します。"
ds_020,東急バス,公車,東急バス バス停時刻表,static,JSON,api,https://api.odpt.org/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,東急バスのバス停時刻表を提供します。
ds_021,OpenStreet,共享單車,Bikeshare information (GBFS format) of OpenStreet,static,GBFS,api,https://api-public.odpt.org/api/v4/gbfs/hellocycling/gbfs.json,https://api-public.odpt.org,/api/v4/gbfs/hellocycling/gbfs.json,True,COMPETITION_LIMITED,SECONDARY,OpenStreet（ハローサイクリング）のバイクシェア関連情報(GBFS形式)を提供します。
ds_022,ドコモ・バイクシェア バイクシェア関連情報（東京エリア）,共享單車,Bikeshare information (GBFS format) ,static,GBFS,api,https://api-public.odpt.org/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json,https://api-public.odpt.org,/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json,True,COMPETITION_LIMITED,SECONDARY,ドコモ・バイクシェアの東京都内エリアのバイクシェア関連情報を提供します。
ds_023,気象データ高度利用ポータルサイト,氣象,「最新の気象データ」CSVダウンロードについて,static,XML、CVS,,,,,False,,PRIMARY,"全国のアメダスの最新の降水量、最高・最低気温、最大風速、積雪深などのデータを、
　機械判読に適したデータ形式（CSV形式）でダウンロードすることができます。
気象庁ホームページを通じて公開する気象庁防災情報XMLフォーマット形式電文（以下、XML形式電文という。）は、""PULL型""でのみ提供しております。"
ds_024,国土地理院 基盤地図情報サイト,地理,基盤地図情報,static,PDF、ZIP,,,,,False,,PRIMARY,
ds_025,東京都：オープンデータカタログサイト,開放數據,東京都防災マップ 避難所・避難場所一覧データ,static,CVS、PDF,file,https://www.opendata.metro.tokyo.lg.jp/soumu/130001_evacuation_center.csv,https://www.opendata.metro.tokyo.lg.jp,/soumu/130001_evacuation_center.csv,False,,PRIMARY,"東京都防災マップに掲載している避難所、避難場所の一覧です。なお、本情報は、原則として令和3年4月1日基準での情報です。データ利用に当たっては、東京都提供の「避難所、避難場所データ オープンデータ」を利用していることを表示してください。
本データはクリエイティブ・コモンズ・ライセンス表示 4.0 国際の下に提供いたします。また、利用者がOpen Data CommonsによるODC BY又はODbLでの利用を希望する場合に、それを妨げるものではありません。
・掲載されている工事は、2025年12月～2026年1月に実施予定の工事です。

・掲載されている工事以外にも実施される工事があります。（緊急工事、小規模工事など）

・工事内容は変更されることもあります。"
ds_026,,,,static,nan,,,,,False,,PRIMARY,
ds_027,,,,static,nan,,,,,False,,PRIMARY,
ds_028,數據類別 (Category),數據名稱 (Name),來源機構 (Provider),static,獲取方式 (Method),,,,,False,,PRIMARY,用途 (LUTAGU L3 Tag)
ds_029,微設施,公共廁所與無障礙設施,OpenStreetMap (OSM)、各車站バリアフリー地圖,static,API (Overpass API),,,,,False,,PRIMARY,"amenity=toilets

diaper=yes (尿布台)

wheelchair=yes (輪椅友善)"
ds_030,微設施,置物櫃 (Coin Lockers),OpenStreetMap (OSM),static,API (Overpass API),,,,,False,,PRIMARY,"amenity=lockers

payment:suica=yes (可刷卡)"
ds_031,微設施,車站置物櫃資訊,ODPT (輔助),static,API (odpt:StationFacility),,,,,False,,PRIMARY,驗證車站內是否有置物櫃設施
ds_032,微設施,行李寄存服務,ecbo cloak (商業)コインロッカーなび、メトロコマース,static,爬蟲 / Deep Link,,,,,False,,PRIMARY,L4 導流： 當置物櫃滿時，引導至合作店家寄存；n8n 定期抓取
ds_033,微設施,充電 / Wi-Fi 熱點,OpenStreetMap (OSM),static,API (Overpass API),,,,,False,,PRIMARY,"amenity=charging_station

internet_access=wlan"
ds_034,微設施,便利商店 (ATM/補給),OpenStreetMap (OSM),static,API (Overpass API),,,,,False,,PRIMARY,"shop=convenience

atm=yes"
ds_035,微設施,飲水機 / 免費休息處,MyMizu / OSM,static,API (Overpass API),,,,,False,,PRIMARY,"amenity=drinking_water

amenity=bench"
ds_036,防災,避難場所,東京都 Open Data,static,CSV / API,,,,,False,,PRIMARY,Trip Guard: 緊急狀況時的最近避難點導引
ds_037,觀光景點,觀光景點描述,官方觀光 PDF、區役所網站,static,PDF / HTML,,,,,False,,PRIMARY,Phase3
ds_038,活動/事件,活動/事件,區役所活動頁面、祭典網站,static,Web 爬蟲,,,,,False,,PRIMARY,n8n 定期抓取
ds_039,,,,static,nan,,,,,False,,PRIMARY,
ds_040,Phase 1：ODPT 核心鐵道/巴士數據,,,static,nan,,,,,False,,PRIMARY,
ds_041,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,static,nan,,,,,False,,PRIMARY,
ds_042,✓ 東京Metro GTFS + JSON,,,static,nan,,,,,False,,PRIMARY,
ds_043,✓ 都營 GTFS + JSON,,,static,nan,,,,,False,,PRIMARY,
ds_044,✓ JR東日本 GTFS（競賽限定）,,,static,nan,,,,,False,,PRIMARY,
ds_045,✓ 社區巴士（めぐりん、風ぐるま）,,,static,nan,,,,,False,,PRIMARY,
ds_046,→ 產出：基本路線查詢,,,static,nan,,,,,False,,PRIMARY,
ds_047,,,,static,nan,,,,,False,,PRIMARY,
ds_048,Phase 2：即時數據,,,static,nan,,,,,False,,PRIMARY,
ds_049,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,static,nan,,,,,False,,PRIMARY,
ds_050,✓ GTFS-RT（Metro、都營）,,,static,nan,,,,,False,,PRIMARY,
ds_051,✓ 運行異常資訊,,,static,nan,,,,,False,,PRIMARY,
ds_052,✓ 巴士位置資訊,,,static,nan,,,,,False,,PRIMARY,
ds_053,→ 產出：即時狀態、Trip Guard,,,static,nan,,,,,False,,PRIMARY,
ds_054,,,,static,nan,,,,,False,,PRIMARY,
ds_055,Phase 3：多模式 + 基礎設施,,,static,nan,,,,,False,,PRIMARY,
ds_056,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,static,nan,,,,,False,,PRIMARY,
ds_057,✓ GBFS 共享單車,,,static,nan,,,,,False,,PRIMARY,
ds_058,✓ 步行空間 GeoJSON,,,static,nan,,,,,False,,PRIMARY,
ds_059,✓ OSM 廁所/基礎設施,,,static,nan,,,,,False,,PRIMARY,
ds_060,✓ 無障礙地圖資訊,,,static,nan,,,,,False,,PRIMARY,
ds_061,→ 產出：多模式路線、無障礙導航,,,static,nan,,,,,False,,PRIMARY,
ds_062,,,,static,nan,,,,,False,,PRIMARY,
ds_063,Phase 4：進階設施,,,static,nan,,,,,False,,PRIMARY,
ds_064,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,static,nan,,,,,False,,PRIMARY,
ds_065,✓ 置物櫃（爬蟲）,,,static,nan,,,,,False,,PRIMARY,
ds_066,✓ ATM、充電站（OSM）,,,static,nan,,,,,False,,PRIMARY,
ds_067,→ 產出：完整 L3 微需求解答,,,static,nan,,,,,False,,PRIMARY,
ds_068,,,,static,nan,,,,,False,,PRIMARY,
ds_069,Phase 5：觀光內容,,,static,nan,,,,,False,,PRIMARY,
ds_070,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,,,static,nan,,,,,False,,PRIMARY,
ds_071,✓ 觀光景點描述（Dify RAG）,,,static,nan,,,,,False,,PRIMARY,
ds_072,✓ 活動/事件資訊（爬蟲）,,,static,nan,,,,,False,,PRIMARY,
ds_073,→ 產出：L1 景點語意、分流推薦,,,static,nan,,,,,False,,PRIMARY,
